task_id,seed,memory_id,delta_receiver_1,delta_receiver_2,delta_receiver_3,decision_receiver_1,decision_receiver_2,decision_receiver_3,disagreement_rate,delta_variance,n_receivers_useful
10,0,dbproc-01870edcc464-agent3,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
10,0,dbproc-01870edcc464-agent5,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
10,0,dbproc-06c28b92d681-agent1,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
10,1,dbproc-01870edcc464-agent1,1.0,0.0,1.0,validated,rejected,validated,0.6667,0.222222,2
10,2,dbproc-01870edcc464-agent1,1.0,0.0,1.0,validated,rejected,validated,0.6667,0.222222,2
11,1,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
11,2,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
11,2,dbproc-01870edcc464-agent4,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
11,2,dbproc-06c28b92d681-agent1,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
17,0,dbproc-01870edcc464-agent4,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
17,1,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
17,1,dbproc-01870edcc464-agent5,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
19,1,dbproc-01870edcc464-agent1,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
2,2,dbproc-01870edcc464-agent3,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
21,2,dbproc-01870edcc464-agent4,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
21,2,dbproc-06c28b92d681-agent1,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
23,0,dbproc-01870edcc464-agent5,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
23,1,dbproc-01870edcc464-agent2,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
23,1,dbproc-01870edcc464-agent4,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
23,2,dbproc-01870edcc464-agent1,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
23,2,dbproc-01870edcc464-agent4,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
29,0,dbproc-01870edcc464-agent3,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
29,0,dbproc-01870edcc464-agent5,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
29,0,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
29,1,dbproc-01870edcc464-agent3,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
29,1,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
3,1,dbproc-01870edcc464-agent3,1.0,0.0,0.0,validated,rejected,rejected,0.6667,0.222222,1
3,1,dbproc-01870edcc464-agent4,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
32,1,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
32,1,dbproc-01870edcc464-agent3,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
32,1,dbproc-01870edcc464-agent5,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
33,1,dbproc-01870edcc464-agent2,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
33,1,dbproc-01870edcc464-agent4,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
33,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
33,2,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
34,1,dbproc-01870edcc464-agent4,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
34,1,dbproc-06c28b92d681-agent1,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
34,2,dbproc-01870edcc464-agent2,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
34,2,dbproc-01870edcc464-agent3,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
41,1,dbproc-01870edcc464-agent3,1.0,0.0,1.0,validated,rejected,validated,0.6667,0.222222,2
41,1,dbproc-01870edcc464-agent4,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
41,1,dbproc-01870edcc464-agent5,1.0,0.0,1.0,validated,rejected,validated,0.6667,0.222222,2
51,0,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
51,1,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
51,2,dbproc-01870edcc464-agent2,1.0,0.0,1.0,validated,rejected,validated,0.6667,0.222222,2
51,2,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
57,0,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
57,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
57,2,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
61,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
61,2,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
63,0,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
63,1,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
63,2,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
64,0,dbproc-01870edcc464-agent3,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
64,0,dbproc-01870edcc464-agent4,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
64,0,dbproc-01870edcc464-agent5,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
64,2,dbproc-01870edcc464-agent3,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
